imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt0831387,Godzilla,2014,"Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston",74,62,201710927,Aaron Taylor-Johnson,m
tt2379713,Spectre,2015,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",64,60,200568725,Daniel Craig,m
tt0458525,X-Men Origins: Wolverine,2009,"Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am",38,40,199249431,Hugh Jackman,m
tt0479952,Madagascar: Escape 2 Africa,2008,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",64,61,198942692,Ben Stiller,m
tt1515091,Sherlock Holmes: A Game of Shadows,2011,"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams",59,48,197583295,Robert Downey Jr.,m
tt0381061,Casino Royale,2006,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",95,80,197116479,Daniel Craig,m
tt1078912,Night at the Museum: Battle of the Smithsonian,2009,"Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria",44,42,196366579,Ben Stiller,m
tt1772341,Wreck-It Ralph,2012,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch",86,72,196255685,John C. Reilly,m
tt0181852,Terminator 3: Rise of the Machines,2003,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken",70,66,194333815,Arnold Schwarzenegger,m
tt0252866,American Pie 2,2001,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein",52,43,193505905,Jason Biggs,m
tt0486946,Wild Hogs,2007,"Tim Allen, John Travolta, Martin Lawrence, William H. Macy",14,27,192992925,Tim Allen,m
tt0275847,Lilo & Stitch,2002,"Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",86,73,192847520,Daveigh Chase,f
tt2294449,22 Jump Street,2014,"Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell",85,71,192665594,Jonah Hill,m
tt1155076,The Karate Kid,2010,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han",66,61,192659183,Jaden Smith,m
tt0398165,The Longest Yard,2005,"Adam Sandler, Chris Rock, Burt Reynolds, Nelly",31,48,192380583,Adam Sandler,m
tt1291150,Teenage Mutant Ninja Turtles,2014,"Megan Fox, Will Arnett, William Fichtner, Alan Ritchson",21,31,192163075,Megan Fox,f
tt0454921,The Pursuit of Happyness,2006,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe",67,64,191922991,Will Smith,m
tt0232500,The Fast and the Furious,2001,"Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster",53,58,191490218,Paul Walker,m
tt0800369,Thor,2011,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",77,57,191448482,Chris Hemsworth,m
tt0481499,The Croods,2013,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener",70,55,191172327,Nicolas Cage,m
tt0443272,Lincoln,2012,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",90,86,188795068,Daniel Day-Lewis,m
tt0120667,Fantastic Four,2005,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",27,40,188238126,Ioan Gruffudd,m
tt1104001,TRON: Legacy,2010,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",51,49,187749974,Jeff Bridges,m
tt0130623,Dinosaur,2000,"D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella",65,56,187350467,D.B. Sweeney,m
